title;album;year;lyrics
Penelope;Vagabundo;;"Me despierto en el alba soñando no sé qué
Desayuno con lluvia y te recuerdo en el café
Soñé tu figura lejos, esperando en los suburbios del olvido (Penélope)
Y me vi solo, zarpando en barcos de oro que llené con regalos para ti
Y luego vi que por celos el mar de mis tormentos se tragaba el barco
Y aquel loco que era yo
Y todo naufragó
Qué lejos tú, qué lejos yo
Los escombros de mi vida se deslizan con la lluvia
Recordando a Penélope
Me abandono a las olas, me escupen del mar
Han pasado los años, nadie sabe en dónde estás
Las calles desiertas por las noches
Y tu cara se dibuja en mi memoria
Los árboles se abrazan, como bosques de esqueletos
En la lluvia, y mi sueño naufragó
Qué lejos tú, qué lejos yo
Llueven lágrimas de menta y me emborracho de amargura
Olvidando a Penélope
Qué lejos tú, qué lejos yo
Los escombros de mi vida se deslizan con la lluvia
Olvidando a Penélope
Me refugio en las tavernas y me vuelvo taciturno
Olvidando a Penélope
Qué lejos tú, qué lejos yo
Lo que queda de mi vida lo malgasto en los lujurios
Recordando a Penélope
Lo que queda de mi vida lo malgasto en los lujurios
Recordando a Penélope
Recordando a Penélope"
Dancing in the Rain;Mad Love;;"Do you feel like coming to dance?
Or make love baby
I know you want it
So come down and show me what you need
So, do you feel?
Feel like comin'
Do you want me to stand alone?
Take that flower from your hair
And come dancing in the rain with me

Do you feel
Feel like running
If you're shy babe that's ok
I know we can fly if we're
Dancing in the rain you see
And when we dance
We can make love babe
When you move you can do no wrong
Show me how you feel
Come dance in the rain with me

There she goes
She's like a sexy rose
And her body's like a secret
That you gotta know
It's were I wanna be

There she goes
She's got a sexy pose
When she looks at me
And slowly takes off all her clothes
You move like you own the world
Why don't you dance with me?

I see your smile oh baby
Sweet sex can drive me crazy
Oh love
Ooooh you wanna dance in the rain with me?
And when we bump and grind all night
And it feels just like candy
Oh doll
Do you feel like dancing in the rain with me?

There she goes
She's like a sexy rose
And her body's like a secret
That you gotta know
It's were I wanna be

There she goes
She's got a sexy pose
When she looks at me
And slowly takes off all her clothes
You move like you own the world
Why don't you dance with me?

I see the girls dancing slowly
And the boys they moan like they're so horny
Oh doll
Do you feel like dancing with me?

There she goes
She's like a sexy rose
And her body's like a secret
That you gotta know
It's were I wanna be

There she goes
She's got a sexy pose
When she looks at me
And slowly takes off all her clothes
You move like you own the world
Why don't you dance with me?

There she goes
She's like a sexy rose
And her body's like a secret
That you gotta know
It's were I wanna be

There she goes
She's got a sexy pose
When she looks at me
And slowly takes off all her clothes
You move like you own the world
Why don't you dance with me?

Do you wanna dance in the rain with me?
Do you wanna dance in the rain with me?"
My Eyes Adore You;Mad Love;;"My eyes adore you
So many others always say
Tomorrow's before you
All of us mustn't play the game
So many days so many nights
Of love sweet love
Hold on don't wake up
Hold on to your life
Tomorrow's alive
Tonight
I know, I know how you feel
Most of us spend our lives waiting
For someone like you
It's a new day
I know, I know how you feel
It doesn't matter what you say
Some days will fall
Some days will run away
But know when we come
Someone will pave the way
Some win your heart and give you freedom from a lousy day
Why are you so cold?
Is it funny when I fall?
You're beautiful
Sinful
But tomorrow's our day
And your ways break my fall
My eyes adore you
As the river flows
Confused and dim
I'll be burning in your water
Again and forever
Washing away these sins
I know, I know how you feel
Most of us spend our lives waiting
For someone like you
It's a new day
I know, I know how you feel
It doesn't matter what you say
Some days will fall
Some days will run away
But know when we come
Someone will pave the way
Some win your heart and give you freedom from a lousy day
Why are you so cold?
Is it funny when I fall?
You're beautiful
Sinful
But tomorrow's our day
And your ways break my fall
Why you so cold
Yet beautiful"
Lie Without A Lover;Mad Love;;"Hey these nights are fashioned around you
I guess the bitter of path of love is no longer haunting you
Come, spring a new
My heart's still blue

I've been sittin' around waiting for you to perform
Sing a song to me
Because I'm bored
You bore me, you bore me, you bore me, you do
You make me wanna run away from you

These days hold me as I dwell in love
And I lie without a lover
And these days are cold
I'm in your spell of lust as I lie without a lover

Now the nights are days
I'm dazed
I feel that you are just a heart away
You're fine
That you are
Do you wanna love me
Yes I love you for a thousand days

Oh love sweet love I know there's a way
To help us both become one flame
Yeah, your hand it caresses all
To a place which appears
Will you run with me here?

HeseThese days hold me as I dwell in love
And I lie without a lover
And these nights are cold
I'm in your spell of lust
As I lie without a lover

Now the nights are days
I'm dazed
I feel that you are just a heart away
You're fine
That you are
Do you wanna love me
Yes I love you for a thousand days

Oh love sweet love I know there's a way
To help us both become one flame
Yeah, your hand it caresses all
To a place which appears
Will you run with me here?

And I lie without a lover
I think that every time you're swingin' it
You're swingin' it for me
I want to surround you with yourself and
Your fading reputation

Now the nights are days
Some days I feel that you're just a heart away
You find that you are
You wanna love me
Yes I love you for a thousand days

Oh love sweet love I know there's a way
To help us both become one flame
Yeah, your hand it caresses all
To a place which appears
Will you run with me here?"
Mad Love;Mad Love;;"And though I've tried to reach you
And time is closing in on me
Most of us
Can carry on as if nothing ever matters
But I ask you my love
Will you hold on to me forever?
But when you love me I'm fine
So love me just one more time
'Cause when I said, ""I love you""
That's forever
Do you remember when sunrise meant
That we should close are eyes
And words were just obstacles
Between our hello's and our goodbye's
And I was your savior
And you were my queen
And love was the answer
To just about everything
But when you love me I'm fine
So love me just one more time
'Cause when I said, ""I love you""
That's forever
Can you take me?
Take me from this hollow place
Can you hold me?
Hold me
And take away this pain
I'll always remember the part
When you'll always remind me
Of the possibilities
And maybe you and I will re-fall
Re-tune and find a way
But when you love me I'm fine
So love me just one more time
'Cause when I said, ""I love you""
That's forever
And I'm trying to reach you
Do you remember my touch
Like old friends
And I smile at you
Then we both start laughing
Now I'm a man of fortune
I'm a man that's free
But life with out you
Is true poverty
I'm a man of promise
My faith aside
Let's save ourselves
To stay alive
But when you love me I'm fine
So love me just one more time
'Cause when I said, ""I love you""
That's forever
I've tried to reach you
Do you remember the first time?
When I smile at you
Then we both start laughing
And I said, ""I'm a man of fortune, I'm a man that's free""
But life with out you keeps haunting me"
Crash Push;Mad Love;;"Crash
Would you like me to forget myself?
Or loose myself in you?
Push
Just one push will do
When I'm overboard drowning in you
I hear the whisper slowly
And soon our lips will be near
In between the day and night
I'll step into the blue twilight
Catch me darling catch me
Hold me back
I think I'm falling over you
What did you do?
Help me now
I'm loosing me into you
What did you do?
What did you do?
Walk
I walk a line that leads to you
Waiting, anticipating
Desire, has no say
She leads you on a road going crazy
I hear the whisper slowly
And soon our lips will be near
Hold me back
I think I'm falling over you
What did you do?
Help me now
I'm loosing me into you
What did you do?
What did you do?
In between the day and night
I'll step into the blue twilight
Catch me darling catch me
Hold me back
I think I'm falling over you
What did you do?
Help me now
I'm loosing me into you
What did you do?
What did you do?"
Vagabundo;Vagabundo;;"Vagabundo por el mundo...
Ay, ay, ay, ay, ay, ay
En un lugar desierto creí morir de sed
Y un animal preñado de luz me dio de beber
Lenguas de sol, beber a tragos el placer
Sentir la boca del miedo. (oasis de amor)
Tú y yo, Arena y escorpión, en un mar de fuego
Bajo el beso de la noche
Rodando por el mundo camino, camino
Pregunto a la quimera el enigma del destino
Nómada, loco, noctámbulo y soñador
Un vagabundo. (Eeeeeeeeeeeee)
Ay, ay, ay, ay, ay, ay
Arena y luz, esperma y olor de juventud
Lenguas de sol, beber a tragos el placer (pero se van ya)
Sentir la boca del miedo. (oasis de amor)
Tú y yo, arena y escorpión, en un mar de fuego
Buscando la quimera, bajo el beso de la noche
Lenguas de sol, oasis de amor, poetas en el Edén
Al fin, te encuentro en esta hoguera
Beso al fuego y no me quemo
Rodando por el mundo camino camino
Pregunto a la quimera el enigma del destino
Nómada, loco, noctámbulo y soñador
Un vagabundo (Trono sin rey)
Un vagabundo (templo sin dios)
Nómada, loco, noctámbulo y soñador
Un vagabundo (Trono sin rey)
Un vagbundo
Rodando por el mundo camino camino
Pregunto a la quimera el enigma del destino
Nómada, loco, noctámbulo y soñador
Un vagabundo
Un vagabundo
Nómada, loco, noctámbulo y soñador
Un vagabundo
Un vagabundo"
Más y más;;;"Más, si te acercas un poquito más me meterás en ti
Más, si te sueño más ya no podré dormir nunca jamás
Así susurrándome tu te vienes a mi
Y mi habitación se llenará de verde agua de mar
Verde que me pierde

Más y más si más te quiero quiéreme tu mucho más
Más y más dentro de mi entrarás
Tu más y más, tu más y más

Yo no se cómo abrazarme a tus brazos y no sufrir
Voy por la vida pidiéndote un amor de suicida
Así susurrándome tu te vienes a mi

Más y más si más te quiero quiéreme
Tu mucho más
Más y más dentro de mi entrarás
Tu más y más, tu más y más

(Susurrándome... morena, ehh)

Y mi habitación se llenará del verde agua de mar
Verde que me pierde
Más y más si más te quiero quiéreme tu mucho más
Más y más dentro de mi entrarás
Tu más y más
(Hold me back, I think I'm falling)
Tu más y más
(I think I'm falling)

Más y más dentro de mi entrarás
Tu más y más, tu más y más..."
Solitary Man;Mad Love;;"When I heard you say
Maybe we'll love again some distant day
I'm without an answer
I rather close my eyes and look for words to say
To treat the solitude again
It's clear to me it's there
And we're at the bottom
Can't delude ourselves like that
'Cause love is broken
Then you realize that you're dizzy now
From all that's spoken
Nothing near anymore
And everything is far from you
In your room of separation
You're crawling
You think yourself a man
A solitary man
Living in some distant day
In search of answers
Perhaps man will gradually
Without noticing
Live along some distant day
Into the answers
A thousand miles
A thousand dreams
A thousand roads you've seen
I crash and burn to mark this fragile state of love
A solitary man
He craves love secretly
A solitary man feels better when he bleeds
You think yourself a man
A solitary man
Living in some distant day
In search of answers
Perhaps man will gradually
Without noticing
Live along some distant day
Into the answers
Perhaps we heard him say
Perhaps man will then gradually
Find his way here again
And live along some distant day
Into the answers
And in doing so
Maybe he'll speak a word for us all
Maybe he'll speak a word for us all"
Amantes hasta el fin;Vagabundo;;"Juntos al fin, amor y juventud
Y al fondo niebla y luz, ¿Dónde irán?
Dos silhuetas, cruzaban los pantanos del dolor
Y en la otra orilla de la noche
Duelo y desolación

Amantes hasta el fin
Dormidos bajo el agua están
Dos sepulcros y un amor
No más lágrimas no más dolor
Amantes hasta el fin
Poetas de la obscuridad
Bajo el frío mármol gris
Que no mueran jamás
Quienes amen así
Amor

Amémonos sobre las tumbas en silencio como estatuas bajo el mar
Los dos unidos por las algas del olvido y olvidar
Las cosas del mundo en este anochecer nada importan ya

Amantes hasta el fin
Dormidos bajo el agua están
Dos sepulcros y un amor
No más lágrimas no más dolor
Amantes hasta el fin
Poetas de la obscuridad
Bajo el frío mármol gris
Que no mueran jamás
Quienes amen así"
Junkie (Cuando Pasara);;;"Lady Love, are you sad today?
Come and sway with me over here
Sorry sunlight jaded forever, I don't like it cold in the summer
No need for the wasteland of the pain anymore
My hands embrace the air every time I look at you
One last chance and we can burn the morrow
One last chance before tomorrow
I don't care where we go
I don't care what we do
Doesn't matter who we are
'Cause all we have is the broken calm of the sea
It's time to let things go
It's time to just be free
Junkie, come on now junkie
I'd like to find a way to kill the pain for you
Junkie, you are the cry of pain
I know that someday love and death will make you new
Lady Love, arose horizon, while we've been gone She holds my hand
I just want to mourn this forever, wanna sleep in love wherever
No need for the wasteland of the wounded sea
One last chance and we will burn the sorrow
One last chance before tomorrow
Junkie, come on now junkie
I'd like to find a way to kill the pain for you
Junkie, you are the cry of pain
I know that someday love and death will make you new
Junkie, come on now junkie
I'd like to find a way to kill the pain for you
Junkie, you are the cry of pain
I know that someday love and death will make you new"
California;Mad Love;;"You said
You'd always be around
Lately I see you above the clouds
You said I'm always playing games
And nothing's the same anymore
My, you are
You'll always be
The girl who loves a man, the way a man should be

I can' believe
What I've seen
'Cause I believe in you
My California girl
You remind me of all the things that were
It doesn't matter anymore
'Cause now you're a movie star

Tell all the people that you've moved on
Tell them that you were loved before by me
We don't understand each other any more
You're always on my mind

I can' believe
What I've seen
'Cause I believe in you
My California girl

She, she
I know she loves
Oh, she
She's just a little crazy
'Cause you're my
You'll always be
You'll always send a man away
Step all over me

Tell all the people that you've moved on
Tell them that you were loved before by me
We don't understand each other any more
You're always on my mind
(repeat 2X)"
Blanca Mujer;Vagabundo;;"New Orleans
A primeros de abril
En el noventa y cuatro
El está condenado a morir
Por amar demasiado
Si quisieras ahora venir
Y acabar de una vez con mi vida
Yo te lo pido blanca mujer
Que me lleves a tu eterna guarida
Tengo tantas ganas de ti
Pero no puedo llevarte ahora
Te toca todavía vivir
Porque aun no te ha llegado la hora
So una foto virtual
De su amor enlutado
El esta condenado a morir
Por amar demasiado
Si quisieras ahora venir
Y acabar de una vez con mi vida
Yo te lo pido mi blanca mujer
Que me lleves a tu eterna guarida
Tengo tantas ganas de ti
Pero no puedo llevarte ahora
Te toca todavía vivir
Porque aun no te ha llegado la hora
Nadie quiere nada de mi
Y tu quieres que te quite la vida
Pero yo no soy dueña de mi
Solo espero la campana de arriba
Tengo tantas ganas de ti
Pero no puedo llevarte ahora
Te toca todavía vivir
Porque aun no te ha llegado la hora
En un día de primeros de abril
Hay un hombre esperando a morir"
Esto es vida;Vida;;"[Letra de ""Esto es vida"" feat. Juan Luis Guerra]

Besar tus ojos oscuros
Dejar atrás las heridas
Dormir, dormir pegado a tu pecho
Esto es vida
Cerrar mi mano en tu mano
Y beber tu dulce saliva
Meter mi cuerpo
Meter mi cuerpo en tu cuerpo
Esto es vida

Vamos a hacer nuestra casa en el cielo
En el cielo de alguna selva
Cultivar amor en rama
Y plantar plantar estrellas
Beber amor cada noche
Y comer amor cada día
Esto es vida… esto es vida
Quemar el tiempo pasado
Dejarlo todo en la huida
Estar desnudos de todo
Esto es vida uuuu
Esto es vida

Y vamos a hacer nuestra casa
En el cielo de alguna selva
Cultivar a mor en rama
Y plantar estrellas
Beber amor cada noche
Y comer amor cada día
Esto es vida (x2)

Esto es vida (x2)"
La Flor Del Frio;Vagabundo;;"""dile que no tengo otra canción
Pero, dile que no tengo otra canción
Que se deje de cosas
Que la canción que voy a cantar esta noche
Es la de todas las noches
La de siempre, la flor del frío""
Noche en Londres, besos furtivos
Tal vez, sois como niños
Tal vez, ya descubrís, juegos prohibidos
Y hartos de la luna, sentís
Por vez primera soledad
Buscáis la flor del frío
Voláis lejos de aqui
Soñáis, hurgando en el dolor
Soñáis
En esa casa de Camden Town
Viven dos clandestinos al acecho del amor
-!son esos dos!
Señalaban los gobiernos
Con la misma mano del crimen
Que hoy os da el perdón
Vuestros versos ya no importan
Y no importa quién fue quién
Una lápida al escándalo
Y esa sórdida pared en Camden Town
Lejos de aqui
Soñáis huyendo del dolor
Y lloráis con la flor del frio"
Commitment #4;Mad Love;;"You're not the color of fresh snow buried under the trees
But your skin, your skin reminds me of a forest without leaves
I fantisized my true divide
We don't need to run tonight -- the pain I seize
True, true, true, true disbelieving from far away. You'll inhabit the heart
I wait... I wait another 18 hours and knock again
I wait 18 hours and knock again
The echo voices come from within
After hearing this I ran away, thinking to myself:
I'll come another day
I wait another 18 hours and try
This time around the ocean has seen the truth
The truth is I'm breaking down, thinking to myself:
Could this be truth?
We don't need to run tonight. The pain I seize
Fear in my life... stay away
This time the sound of the ocean sings
I tremble in confusion, I wake up
I think to myself: Could this be true?
Seconds went by and I noticed you
Don't give up, get closer
As fast as I can when I came to the following night I was inside
Fear in my life again (why?)
I ran as fast as I can. When I came to
The following night I was inside, feeling my life
I wait 18 hours and knock again
The echo voices comes from within;
After hearing this I ran away
Fear in my life, I'll come another day
I wait 18 hours and knock again
The echo voices come from within;
A fter hearing this I ran away, thinking to myself: I'll come another day
I wait 18 hours and knock again
The echo voices come from within;
After hearing this I ran away, thinking to myself: I'll come another day..."
Nymph;;;"Within the delicate purity of love
I find the wild gardens of swoon
I've slowly become a love comforter
All our fears, sorry world
Did you find love yesterday
Did you finally find another man to make your day
Spooning the butterflies I would die for you
Doesn't matter where we go
'Cause pain is all the same
And so I'm caught up by happyland
Draw up into detour land
Far beyond the forbidden flurries
Of disarray, disarray
Did you find love yesterday
Did you finally find another man to make you pray
Spooning the butterflies I would die for you
Doesn't matter where we go
'Cause pain is all the same
Spooning the butterflies I would die for you
Doesn't matter where we go
'Cause pain is all the same
I would die for you"
Songbirds & Roosters;;;"Nothing below, but the sky
On it's own, nowhere to go this time
I am the desperation of an imaginary day
The sentiment of the other side
I'm prisoned again
On this crazy little word
Memories today, disappear
So many days go by
And nothing is ever clear
I'm here, so care for me
Laugh for me
While I'm here
Smile, just for a while
I'm here, so die with me
Smile with me
While I'm here
Smile, just for a while
Oh, sweet lies yours
Of many mouths
I don't wanna die
Don't really wanna cry
Oh, yeah, well
Songbirds and roosters
Are dancing in my veins
Laughing away in my mind
That will always be an illusion
It's the wicked way of the other side
I'm here so care for me
Laugh for me
While I'm here
Smile, just for a while
Oh, sweet lies, yours
Of many mouths
I'm here so care for me
Die with me, while I'm here
Smile, just for a while
Oh, sweet lies from your
So many mouths, well, oh
Well, oh, well, I don't wanna die
Don't wanna cry, I don't wanna die
I don't wanna die"
Como Me Acuerdo;Mad Love;;"Hoy quiero hablar de ti
De lo que yo te amé
Me dueles tanto, tanto
Que sólo soy viento
Viento llegó, viento pasó y cómo me acuerdo
Sólo por ti viví, gracias a ti
Yo seguiré, viento llegó, viento se fue
Y cómo me acuerdo
Ay, yo te llamo, yo que te llamo
CORO
Donde estés, ven volando a mi lado
Dónde andarás
Dónde andarás, lejos de mí
Quién te dará lo que te di
Quién dormirá abrazado a ti, como yo
Cómo me acuerdo, amor
Como si fuera ayer
Viento llegó, viento pasó, y tú no estás aquí
Ay, viento pasó, y yo, cómo me acuerdo, amor
Ay, yo te llamo, yo que te llamo
Donde estés, ven volando a mi lado
Hey, voy a buscarte por donde estés pa' que
Pa' que vuelvas a mí, así nos volvamos
A enamorar
Ay, yo te llamo, yo que te llamo
Donde estés, ven volando a mi lado
Hey, voy a buscarte por donde estés pa' que
Pa' que vuelvas a mí, y así
Nos volvamos a enamorar"
Cruzando puertas;Frío;;"Voy cruzando puertas tras de ti
Amor, porque quiero yo así
Porque sé que nos buscamos
Voy pisando pasos que ya di

¿Dónde estás? Te busco
Sólo encuentro un lugar de piedra y silencio

Voy cruzando puertas tras de ti
Voy cruzando puertas tras de ti

La oscuridad invita a la experiencia
Amiga y enemiga, es un animal
Que alimentarás hasta el fin

Te busco, sólo encuentro un lugar
De piedra y silencio
Tu cuerpo acecha tras la sombra
Tu cuerpo, laberinto eterno
Encubre peligro y misterio

Voy cruzando puertas tras de ti--¿Dónde estás?
Te busco, sólo encuentro un lugar
De piedra y silencio
Tu cuerpo acecha tras la sombra
Tu cuerp, laberinto eterno
Encubre peligro y misterio
Peligro y misterio

¿Dónde estás? Te busco, sólo encuentro un lugar
De piedra y silencio
Tu cuerpo acecha tras la sombra
Tu cuerpo laberinto eterno
Encubre peligro y misterio
Peligro y misterio

¿Dónde estás? Te busco, sólo encuentro un lugar
De piedra y silencio
Tu cuerpo acecha tras la sombra
Tu cuerpo, laberinto eterno
Encubre peligro y misterio"
Never Know The Truth;Mad Love;;"I never know the truth baby
I never understand you
Precious love
I found you
In these endless days
They are driving me crazy
And I fell in love with you
I took you
But you weren't there for the taking
If I said to you
I understand you
Love is your truth
Love is your truth

I'll never know the truth
If what you gave me was real
Hey, I belong to you in the sunshine
In the sunshine
To hold you in the moonlight
There's endless fire in your bones
You'll kiss and love
And you're catching birds in my room

I never know the truth babe
These endless days without you
Are driving me crazy
But you fill in love
And you felt alone
And you said you were broken
How was I to know?
That you were broke
That we were one
That you were alive
How was it love on our side?
Or was it my misunderstanding?
My misfortune to..?

I'll never know the truth
I'll never understand you
That's why still today I'm caught up in you

I'll never know the truth
I'll never understand you
That's why still today I'm caught up in you

I never knew the truth babe
Never knew what you gave me was real love

I'll never know the truth
I'll never understand you
That's why still today I'm caught up in you

I never know the truth baby
I never understand you
Precious love
I found you

Love is your truth
Love is your truth

I could have sworn love was on your side"
