title;album;year;lyrics
Do You Remember;Mad Love;;"Forget the world
The world is a dream
I only live
When you're into me
You are my soul
God only knows
I can't let you go

Do you belong
Do we belong
To one another
You stay
Into my soul
Our days forever
Do you remember

You're my woman
And you're my lady
Someday we'll be falling
In love again

Don't let us crash
Lay close to me
Keep out the thoughts
Just try to breath

Stay in my skin
To my last dying day
I can't let you go

Do you belong
Do we belong
To one another
You stay
Into my soul
Our days forever

You're my woman
And you're my lady
Someday we'll be falling
In love again

Hey I'll be falling
Falling
Falling for you and you
You be falling for me
Do you remember
Do you remember

You stay
Into my soul
Our days forever

You're my woman
Yes you're my lady
Someday
We'll be falling in love again

Hey I'll be falling
Falling for you
And you be falling
For me

I remember
Do you remember love

Why do I feel like
I'm loosing my mind
Why do I feel like
I'm caught"
Sueño Contigo;;;"Cierro los ojos sueño contigo
Abro las manos toco tu cuerpo
Digo mi nombre tu nombre digo
Creo estar vivo se que estoy muerto
Pienso en mi casa pienso en la tuya
Pierdo tu luna pierdo mi luna
Soy la bestia y eres la bella
Cuando pienso en mi te etsoy llamando
Llueve en mi frente tu saliba ardiente
Sopla la brisa tu risa
Entre tus piernas una fuente
Quiero beber eternamente
Cuando grito tu nombre
La mañana se hace agua
Sigo buscando la conciencia se apaga
Con esta rosa soñando en mi pecho
Todo acontece nada se recuerda
Llueve en mi frente tu saliba ardiente
Sopla la brisa tu risa
Entre tus piernas una fuente
Quiero beber eternamente.(x2)"
This Time;Mad Love;;"Oh, break out
I wish I knew
It's late and I'm confused
I'm tired of feeling like I abuse you

I know these days will make me crawl
God, please don't let me fall

This time
I'm in your silhouette
And I'm fading into you
This time
I'm in your solitude

I'm an ocean growl
And reminding my symphony of uncertainty
Well there's plenty of bad weather in my head
In my head the sky is changing
For you and me
I crave the break
Now I see
I know these days you made a man fall
But I ain't about to crawl

This time
I'm in your silhouette
And I'm fading into you
This time
I'm in your solitude

I know these days you make one moment fall
Please don't let me fall
I ain't about to crawl
So I'm blamed for loving you
Blamed for loving

This time
I'm in your silhouette
And I'm fading into you
This time
I'm in your solitude"
Llanto Subterraneo;Vagabundo;;"Es un mal sueño largo, una tonta película de espanto
Un túnel que no acaba lleno de piedras y de charcos
¡Qué tiempo éste, maldito, que revuelve las horas y los años
El sueño y la conciencia, del ojo abierto y el morir despacio
El morir despacio!
Voy, voy a volverme un llanto subterráneo
Voy, voy a volverme un llanto subterráneo
La,la,la,la,la,la,la,la
Recién parido en el lecho de la muerte
Criatura de la paz, recién niño del sol de rostro negro
Arrullado en la cuna del silencio, mamando oscuridad
Corazón desierto, niño mío, cielo enterrado
Y manantial aereo
Voy, voy a volverme un llanto subterráneo
Voy, voy a volverme un llanto subterráneo
Un llanto subterráneo
Un llanto subterráneo"
Reza por Mi;;;"Si te vas, no hay oxigeno
No hay planeta tierra si te vas
El color se hace odio
Y se seca el mar porque tu no estas

Oyeme, no me dejes perdido
Si te vas, reza por mi
Si me quitas tu amor
Pa' que quiero el corazon
Anda y reza por mi
Si me vas a olvidar
Necesito tu oracion

Fijate si me duele
Que ya no siento casi ni dolor
Si te vas, ya no hay lagrimas
Que ya las he llorado todas yo

Oyeme, no me dejes perdido(y aprietame)
Aprietame no me sueltes la mano (no me sueltes la mano)
Agarrate a mi alma
Y no te vayas jamas
Si no, reza por mi
Si me quitas tu amor
Pa' que quiero el corazon
Anda y reza por mi
Si me vas a olvidar
Necesito tu oracion
Y anda y reza por mi
Si me vas a olvidar
Necesito tu oracion

Y ya no hay cielo
Solo hay duelo
Si te vas...

Oyeme no me dejes perdido
Aprietame, no me sueltes las mano
Agarrate a mi alma
Y no te vayas jamas
Si no, reza por mi
Si me quitas tu amor
Pa' que quiero el corazon

Reza por mi ...
Si me vas a olvidar
Necesito tu oracion
Aaahh si te vas rezaa por mi

El color se hace odio
Oyemee no me dejes perdido
Reza por mi...
Si me quitas tu amor
Necesito tu oracion
...necesito tu oxigenoo"
Madre Tierra 13;Vida;2013-03-18;"[Letra de ""Madre Tierra 13"" ft. Calle 13]

[Verso 1: Calle 13]
Estoy presente, aunque no me veas
Yo existo, porque existen mis ideas
Defiendo mi pasado contra cualquier rayo
Mientras mas profundas las raíces, más largo es el tallo
Un árbol no se cae cuando las raíces están bien sembradas
La erosión del suelo, mi piel no la siente
Sigo caminando porque me adapto al medio ambiente
Cuando nace la duda, muere la fe
Desperté preguntándome: ""¿Cuando, dónde, y qué?""
Madre Tierra felicidad y miseria
Todos somos tiempo, espacio y materia
Lo que aprendí, todo lo que olvidé
Lo que no encontré, todo lo que busqué
Lo que no te di, todo lo que te doy
Lo que dejé ayer, lo que me vivo hoy

[Verso 2: Draco Rosa]
Alguien trazó tu camino dentro de la selva
Todo te lo dio sin nada a cambio
Alguien besó tu frente con la boca fresca
Y cada noche te puso un ángel en tu cuarto

[Coro: Draco Rosa]
Tú, ¿quién eres tú?
Si no existiera madre Tierra
Tú, ¿quién eres tú?
Si no existiera madre Tierra
Si no existiera
Si no existiera madre Tierra
Si no existiera

[Puente: Calle 13]
Tocar, acariciar, golpear, pegar
Sudar, expulsar, destilar transpirar
Escuchar, atender, percibir, oír
Empezar, terminar, nacer y morir

[Coro: Draco Rosa]
Tú, ¿quién eres tú? si no existiera madre Tierra
Tú, ¿quién eres tú?
Tú, ¿quién eres tú? si no existiera madre Tierra
Tú, ¿quién eres tú?"
Cuando Pasara;Frío;;"Cae la noche y el silencio
Llena nuestro hogar
Duerme en la casa
Padre Nuestro
Que en el cielo está
Si miro al cielo me da miedo
Si miro al suelo más
Padre nuestro que estás arriba
Me tienes que escuchar
Cuándo escribirás tu cuento
Que cuente las cosas que yo siento
Cuándo darás a mi padre
Un poco de tiempo para hablarme
Cuándo pasará, cuando pasara
Cuándo llegará un buen día
En que pueda irme con mi padre a pasear
Cuándo sentiré sus pasos que junto a mis pasos
Me acompaña al andar
Jugando en la ciudad sin calles que cruzar
Hasta mañana, padre nuestro
No te olvides de mí
Sólo te pido, que mis sueños
Se hagan realidad y mañana cuando despierte
No sea un dia más
Cuándo pasará, cuándo pasará
Cuándo llegará un buen día
En que pueda irme con mi padre a pasear
Cuándo sentiré sus pasos que junto a mis pasos
Me acompaña al andar
Jugando en la ciudad sin calles que cruzar
Ra,ra,ra,ra,ra, ¿Cuándo pasará?"
Brujeria;Vagabundo;;"Guardo toneladas de poesía explosiva junto a mi cama
Y una pistola cargada de miedo bajo mi almohada
Guardo palabras del infierno y del cielo
Risas prohibidas y gritos tan fuertes que parecen silencios
Hacen heridas, hacen heridas
Poesía, Brujería
Poesía, Brujería
Guardo las fórmulas de un viejo adivino entre mis libros
Que no se pueden pronunciar en voz alta o estás perdido
Guardo las lenguas que consumen los hielos en mi cabeza
Y terremotos de oraciones que no se rezan
Poesía, Brujería
Poesía, Brujería
(Solo)
Poesía, Brujería
Poesía, Brujería"
Madre tierra;Vagabundo;;"Alguien te dio tu propia vida
Fruto de un amor doloroso
Alguien te dio tu propio nombre
Y marcó tu paso
Te dio la leche blanca de la luna
Sacada de un pezón de raso

Tú, quién eres tú, si no existiera Madre Tierra
Tú, quién eres tú

Alguien trazó tu camino dentro de la selva
Todo te lo dio sin nada a cambio
Alguien besó tu frente con la boca fresca
Y cada noche te puso un ángel en tu cuarto

Tú, quién eres tú, si no existiera Madre Tierra
Tú, quién eres tú

(Solo)

Si no existiera, Madre Tierra
Y si no existiera

Si no existiera, Madre Tierra
Y si no existiera

Madre Tierra, más mentira que verdad
Solamente es una idea de mi mente
Un recuerdo, para olvidar

Tú, quién eres tú si no existiera Madre Tierra
Tú, quién eres tú
Tú, quién eres tú si no existiera Madre Tierra
Tú, quién eres tú"
Heaven Can Wait;Mad Love;;"In the mist of winter day
The red sunlight lazy day
Nothing here is motionless
Everywhere I breathe taboo
There's no one else just me and you
In our magic solitude
Tears descend
Tears descend
She's sixteen moving into one direction, one emotion
Now she's seventeen
She's a fatal cause of mad love, curse
Heaven can't wait
Once a smile of sight and tell
Where the people did not dwell
Nightly at a secret hour
Keep us above the creepy flowers
There's no one else
Just me and you
In our magic solitude
Tears descend
Tears descend
She's sixteen moving into one direction, one emotion
Now she's seventeen
She's a fatal cause of mad love, curse
Heaven can't wait
Tears descend
Tears descend
She's sixteen moving into one direction, one emotion
She's sixteen moving into one direction, one emotion
In a secret hour
She's seventeen
She's a fatal cause of mad love, curse
Heaven can't wait"
Almas Diferentes, Almas Gemelas;Frío;;"Dentro de mi cuerpo
Todo lo que queda es ciudad
Adivina donde vivo
Bajo el puente de la soledad
Flores en tus ojos
En tus labios el fondo del mar
Una luna blanca en tu beso
Y tu sexo me sabe a sal
Almas diferentes
La clara tÃº, la oscura yo
Y al final, como el bien y el mal
Somos almas gemelas
Almas diferentes, la dulce tÃº
La amarga yo un animal contra otro animal
En un mundo de fieras y al final
Como el bien y el mal, somos almas gemelas
Almas difernetes almas gemelas
Yo respiro solo canciones de Robi Draco Rosa
TÃº nunca respiras sin mÃ­
Por tus venas corre sangre
Por las mÃ­as, un reptil
Almas diferentes, la dulce tÃº
La amarga yo un animal contra otro animal
En un mundo de fieras y al final
Como el bien y el mal, somos almas gemelas
Almas diferentes, la clara tÃº
La oscura yo y al final, como el bien y el mal
Somos almas gemelas
Un animal contra otro animal en un mundo de fieras
Almas difernetes almas gemelas
Almas gemelas y diferentes
Gemelas y diferentes"
Noche fría;Mad Love;;"Esta noche, frias mas frias sin ti yo no se que hacer
Me siento tan lejos y tan cerca que me estoy volviendo loco sin querer
Mira que me gustas mujer, que puedo yo hacer tener tu amor y padecer
Otra noche desesperado buscando un poco de pasión y no, yo no la encuentro en ti
Mi corazón se va triste
Esperando por ti en la sombra del sol
Canta para mi si no me voy...
Me aburro me aburro me voy de ti
Canta para mi si no me voy...
Esta noche, frias mas frias sin ti yo no se que hacer
Otra noche desesperado buscando un poco de pasion y no
Yo no la encuentro en ti
Mi corazón se va triste
Esperando por ti en la sombra del sol
Canta para mi si no me voy...
Me aburro, me aburro me voy de ti
Canta para mi si no me voy...
El dolor del olvido no me deja olvidar...
Me duele en el pecho saber que no estas..."
Try Me;Mad Love;;"Try me
Move beside me
Now look at my face
Yeah, try me

Try me
Try me
Try me this time
Just get a little closer
Look me in the eye

Try me
Move a little closer
Try me
Move a little closer
And you can't let go

Every time we're riding
I feel you closer to the night
And you're moving next to me
Just try
Do you wanna step out side?
Yeah, baby
Try me, try me, yeah

No time like this time
I move along sweet lie
I tried real hard to hold you
I wanna find open eyes

If you feel it's time to go
If you can't hold on
Than you can't let go

Every time we're riding
I feel you closer to the night
And you're moving next to me
Just try
Do you wanna step out side?
Yeah, baby
Try me, try me, yeah
(repeat 3x)"
Vivir;Vagabundo;;"Vivir
Solamente por dejar mis huellas
Y por grabar mi nombre en un altar
Malgastar mi tiempo yo no lo haré jamás
Ni por ti, ni por mí, ni por nadie
Amar, Solamente por sentirme superior
Ser como un dios que solo puede dar amor
Yo no soy capaz de ser tan tonto no
Ni por ti, ni por mí, ni por nadie
Ni por ti, ni por mí, ni por nadie
Deja (deja)
Que bailen los dioses
Deja, que los héroes bailen
Eminencia, yo no soy feliz
Me siento solo, la vida me maltrata
No soy digno de su confianza
Y no meresco su llanto
Siento vértigo
Me he decepsionado
Jamas
Exhibiría mi alma en un museo
Ni subastara mi amor a un comprador
Ni por ti, ni por mí, ni por nadie
Ni por ti, ni por mí, ni por nadie
Deja (deja)
Que bailen los dioses
Deja, que los héroes bailen
Que yo solo soy un hombre
Bailo solo para nadie, para nadie
Para nadie
Para nadie"
Mas Y Mas (Crash Push);Mad Love;;"Mas si te acercas un poquito mas
Me meterÃ¡s, en ti
Mas si te sueÃ±o mas
Ya no podrÃ© dormir nunca jamÃ¡s
A si susurrÃ¡ndome, tu te vienes a mi
Y mi habitaciÃ³n se llenara
De verde agua de mar
Verde q me pierde
Mas y mas si mas te quiero quiÃ©reme
Tu mucho mas
Mas y mas dentro de mi entraras
Mas y mas tu mas y mas
Yo no se como abrazarme a tus brazos
Y no sufrir
Boy por la vida pidiÃ©ndote un amor de suicida
A si susurrÃ¡ndome tu te vienes a mi
Mas y mas si mas te quiero quiÃ©reme
Tu mucho mas
Mas y mas dentro de mi entraras
Mas y mas, tu mas y mas
Y mi habitaciÃ³n se llenara del verde agua de mar
Verde q me pierde
Mas y mas si mas te quiero quiÃ©reme
Tu mucho mas
Mas y mas dentro de mi entraras
Tu mas y mas, tu mas y mas
Tu mas y mas, tu mas y mas
Mas y mas dentro de mi entraras
Tu mas y mas, tu mas y mas"
Delirios;Vagabundo;;"El reloj de la suerte marca la profecía
Deseo, angustia, sangre y desamor
Mi vida llena, y mi alma vacia
Yo soy el público y el único actor
En mis delirios, confusión
En mis delirios
Grito los nombres pero nadie responde
Perdí el camino de vuelta al hogar
Sé que estoy yendo, no sé adónde
Busco principio sólo encuentro final
En mis delirios, final
En mis delirios
(Solo)
Termina el sueño y suena el disparo
Soy el delirio soy la confusión
Soy como un verso, equivocado
La muerte deja, caer el telón
Soy delirio, confusión
Ser delirio
Confusión (confusión)
En mis delirios
Confusión (confusión)
En mis delirios
En mis delirios
En mis delirios"
Obra de arte;Vida;2013-03-18;"[Letra de ""Obra de Arte"" feat. Enrique Bunbury]
De los cuarenta colores que yo sé pintar
Eres ese color que no lo puedo ni soñar
Ven aquí, necesito imaginarte
Ay, amor, paso el día pintándote
Y qué difícil copiar el aire de tú piel
(Ay, amor, paso el día pintándote)
Pintarte es casi, casi como inventarte
Es hacer de ti una obra de arte
Te estoy buscando
Por las esquinas de la razón
Pero tú imagen huye siempre de mi voz
Ay, ay, ay amor, paso el día pintándote
Ay, ay, ay amor, y tú nombre quemándome
Y qué difícil es copiar el aire de tú piel
Oh, uh
Ay, ay, ay amor
Ay, amor, paso el día pintándote
(Ay, amor, paso el día pintándote) pintándote
(Ay, amor, paso el día pintándote) pintándote
Ay, ay, ay amor, paso el día pintándote (soñándote)
Y tú nombre, y tú nombre, pintándote
Y amándote
Una vida entera amándote"
Junkie;;;"Lady love, are you sad today, come and sway with me over here
Sorry sunlight jaded forever, I dont like it cold in the summer
No need for the wasteland of the pain anymore
My hands, embrace the air, every time i look at you
One last chance and we can burn the morrow, one last chance before tomorrow
I dont care where we go
I dont care what we do
Doesn't matter who we are
Cause all we have is the broken calm of the sea
It's time to let things go
It's time to just be free
Junkie, come on now junkie
Id like to find a way to kill the pain for you
Junkie, you are the cry of pain
I know that someday love and death will make you new
Lady love, arose horizon, while we've been gone she holds my hand
I just want to mourn this forever, wanna sleep in love whereever
No need for the wasteland of the wounded sea
One last chance and we will burn the sorrow
One last chance before tomorrow
Junkie, come on now junkie
Id like to find a way to kill the pain for you
Junkie, you are the cry of pain
I know that someday love and death will make you new
Junkie, come on now junkie
Id like to find a way to kill the pain for you
Junkie, you are the cry of pain
I know that someday love and death will make you new"
Mama;Frío;;"Mamá
Qué difícil es la vida
Siempre
De placer voy al dolor
Un poco de amor
Me hace más daño que morir
Un poco de amor
No es suficiente para mí

Madre
Tú me diste a mí la vida
Yo no
Yo no sé vivir mejor
Voy de legal
No me doy arte para mentir
Y rompo el cristal
Cuando no sé por donde huir

Hey
Soy un niño, casi un baby
Hey
Eso sí lo sé

Hey
Soy un niño, casi un baby
Hey
Mamá ayúdame

Madre
Ya no tengo experiencia
Nadie
Me enseño a sobrevivir
Quiero gritar
Pero el silencio me hace mal
No quiero morir
Pero vivir me asusta más

Madre
Qué difícil es la vida"
Vertigo;Vagabundo;;"Sol negro, negra luz
Los perros vomitan plástico azul
Los relojes marchan al revés
Y el invierno aparece bajo tus pies
Siento vértigo siento vértigo
Siento vértigo siento vértigo
Hay un maldito ruído
En éste gran carnaval (carnaval)
Y en el palacio de fuego
Hay un extraño animal
Que se apodera de ti
Que se apodera de mí
Negro sol
Negro sol, sol de llanto
De mi addicción y mi quebranto
Negro sol, verde luna
La carne rota y el alma cruda
Siento vértigo, siento vértigo
Siento vértigo, siento vértigo
Negro sol
Negro sol, sol de llanto
De mi adicción y mi quebranto
Negro sol, verde luna
La carne rota el alma cruda
Negro sol, sol de llanto
De mi adicción y mi quebranto
Negro sol, verde luna
La carne rota y el alma cruda"
Memories Burn;;;"Here we are, alone again
A lonely soul, without a friend
Our time, die slow
Over the edge of the mountain top
Draw afar the creator
Our time, die slow
Stoned sky or is it me
A seculent mind my belief
Our time, die slow
The liquid fog in the land of nod
Unaffected and complete
Our time, die slow
It's time, die slow
It's time, die slow
Funny dreams no such thing
On the mind there's no relief
Our time, die slow
Between the membrane and the blade
Love is all we have today
Our time, die slow
Memory burns as soon as man
All is left is nothingness
It's time, die slow
The time the day is out of place
'Cause everyday is yesterday
It's time, die slow
It's time, die slow
It's time, die slow
Feel the blackness laugh at me
Golden apples at our feet
Our time, die slow
'Cause here we are alone again
A lonely soul without a friend
Our time, die slow"
Para No Olvidar;Vagabundo;;"Morir es retirarse
Hacerse a un lado
Ocultarse un momento
Estarse quieto
Pasar el aire
De una orilla a nado
Y estar en todas partes
En secreto
Morir es encenderse
Boca abajo
Hacia el humo
Y el hueso y la caliza
Y hacerse tierra y tierra
Con trabajo
Quiero morir
Y volver a empezar
(Murió al amanecer, murió al amanecer)
Quiero vivir
(Murió al amanecer, murió al amanecer)
Y volver a empezar
Morir, y no olvidar
Morir es olvidar
Ser olvidado
Refugiarse desnudo
En el discreto
Calor de Dios
En su cerrado
Puño, crecer igual que un feto
Que un feto
(Murió al amanecer, murió al amanecer)
Quiero vivir
(Murió al amanecer, murió al amanecer)
Y volver a empezar
Morir, y no olvidar
(Murió al amanecer, murió al amanecer)
Quiero vivir
(Murió al amanecer, murió al amanecer)
Y volver a empezar
Morir, y no olvidar
Morir, y volver a empezar"
Rosa Maria (Cruzando Puertas);;;"Walking past the doors of memory
We cry for the family
Outside, and we listen to the background
Walking past the doors of memory
Glorified mother
Did you know that I'm in love
With your lonely heart
Walking past the doors of Rosa Maria
Walking past the doors of Rosa Maria
It all remains
Nothing is worth more than this day
Rosa Maria
Take me away
For the future may never be
Mother, did you know that I'm in love
With your lonely heart
Cause even though your days keep slowing down
I've got to tell you while you're around
Don't ever want to lose your love
Don't ever want to lose
Ever want to lose you
But I can only say...
Glorified mother
Did you know that I'm in love
With your lonely heart
'cause even though my days keep slowing down
I want to tell you while you're around
Don't ever want to lose your love
Don't ever want to lose
Ever want to lose you"
Hablando Del Amor;Vagabundo;;"Voy hablando del amor mientras camino
Por el valle de flores de la muerte
Flores del abismo
Para matar el llanto
Abismo de la sangre
Para matar el llanto
Sangre del deseo
Para matar el llanto
Deseo de la carne
Para matar el llanto
Voy hablando del amor mientras camino
Por el valle de flores de la muerte"
Libre Que Te Quiero Libre;;;"Hasta que se acabe el tiempo guey
Que se amen nuestros cuerpos
Y que salga el sol
Mil mañanas por oriente
Y mil lunas
Lunas diferentes
Sigue, sigue
Tu sigue bailando
Libre que te quiero libre
Libre de cuerpo y de alma
Viviendo la libertad
Porque te amo y tu me amas
Tu flor y tu alma
Sábila, tu te desnudas a punto de volar
Te doy mil besos
El tiempo se nos va
Asi será
Estoy aqui una vez más
Detras de tu flor y tu alma
Tu sigue bailando
Libre que te quiero libre
Libre de cuerpo y de alma
Viviendo la libertad
Porque te amo y tu me amas
Yo te amo y tu me amas
Sábila, tu te desnudas a punto de volar
Te doy mil besos
El tiempo se nos va
Estoy aqui una vez más
Detras de tu flor y tu alma
Sábila,a punto de volar
Te doy mil besos
El tiempo se nos va
Estoy aqui una vez más
Detras de tu amor y tu flor y tu alma
Sábila, bailando en la sombra con ella
Y asi se ira
Nadando entre tu flor y tu alma
Sabila, tu te desnudas a punto de volar
Te doy mil besos
El tiempo se nos va
Estoy aqui una vez más
Detras de tu amor y tu flor y tu alma
Sábila, bailando en la sombra con ella
Y asi se ira
Nadando entre tu flor y tu alma
Sábila, estoy aqui una vez más
Detras de tu amor y tu flor y tu alma"
Bandera;;;"Una mano que me guie entre tinieblas
Una mano que acaricie mis dolores
Una mano que me dibuje mi camino
Una mano y el destino

La tierra levanta banderas de guerra
Y el rio no corre
Y el sabio se esconde
La tierra levanta banderas de guerra
Y el rio no corre

La tierra levanta banderas de guerra
Y el rio no corre
Y el sabio se esconde
La bella durmiente nunca se despierta
Y el principe lobo miente cuando habla

La tierra levanta banderas de guerra
Y el rio no corre
Y el sabio se esconde
La tierra levanta banderas de guerra
Y el rio no corre"
Paraiso prometido (hay que llegar);;;"Es larga la carretera
Que conduce a ningún lado
Pasaporte prestado
Pocas ganas de andar
Es duro subir las cuestas
Y bajar por las pendientes
Cruzar las turbias corrientes
Que nadie quiere cruzar
Pero hay que llegar, hay que llegar
Hay que llegar al fin del mundo
Al paraíso prometido (ahí voy)
Hay que llegar al horizonte
Donde se pierden los sentidos
Comer la fruta del árbol escondido
Y hay que llegar al horizonte
Donde se pierden los sentidos
Comer la fruta del árbol prohibido
Hay que llegar, hay que llegar
Hay que llegar al fin del mundo
Al paraíso prometido
Hay que llegar, hay que llegar
Hay que llegar al fin del mundo
Al paraíso prometido
Hay que llegar, hay que llegar
Mas allá de las montanas(hay que llegar al fin del mundo)
Al paraíso prometido
Hay que llegar, hay que llegar
Deja que tu paso siga
Mas allá de las montañas
Al paraíso prometido
Hay que llegar, hay que llegar
Hay que llegar, al horizonte
Al paraíso prometido"
Aleluyah;;;"Hay un acorde turbador
Del rey David para el Señor
Y a ti te da lo mismo, no te importa
Se canta asi
La luz, el gris
El mar, el sol, el no y el si
Y todo junto suena a Aleluya...
Tu fe fallo y t traiciono
Desnuda ella te atrapo
Se luz y su belleza te agarraron
Te ato a la silla de tu amor
Rompio tu trono, te corto
El pelo de tu fuerza y Aleluya...
Tu nombre dices que jure
Y yo tu nombre ni lo se
Pero si fuera cierto, que te importa
En cada beso hay una luz
Cada palabra es casi tu
Lo santo y lo maldito es Aleluya...
Yo -lo mejor te di de me
Quise sentir y no senti
No te menti y siempre fui sincero
Y anque al final todo fue mal
Yo estoy cantando esta cancion
Que suena casi a Aleluya"
