title;album;year;lyrics
Luchar Por Ella;;;"Y la madrugada se vuelve cada vez mas intima
Podria hablarte de la luna
Pero prefiero que la mires
Podria hablarte del amor
Pero prefiero que lo sientas
Podria hablarte del amor
Pero prefiero que lo sientas
Hablarte de la verdad
Pero prefiero que la busques
Podria hablarte de la libertad
Pero prefiero que la goces, hablarte de la paz...
Podria hablarte del odio
Pero prefiero que lo ignores
Podria hablarte de la amistad
Pero prefiero ofrecertela
Podria hablarte de la verdad
Pero prefiero que la busques
Podria hablarte de la vida
Pero prefiero que la vivas
Podria hablarte del amor
Pero prefiero que lo sientas
Hablarte de la verdad
Pero prefiero que la busques
Podria hablarte de la libertad
Pero prefiero que la goces, hablarte de la paz...
Podria hablarte de la libertad
Pero prefiero que la goces
Podria hablarte de la paz
Pero prefiero que la sueñes
Podria hablarte del amor
Pero prefiero que lo sientas
Hablarte de la verdad
Pero prefiero que la busques
Podria hablarte de la libertad
Pero prefiero que la goces, hablarte de la paz..."
Quiero Vivir;;2020-01-24;
Frio;Frío;;"El reloj de la suerte marca la profecía
Deseo, angustia, sangre y desamor
Mi vida llena y mi alma vacía
Yo soy el público y el único actor

Las olas rompen el castillo de arena
La ceremonia de la desolación
Soy un extraño en el paraíso
Soy el juguete de la desilusión
Estoy ardiendo y siento frío

Frío

Grito los nombres pero nadie me responde
Perdí el camino de vuelta al hogar
Sé que estoy yendo pero no sé hacia dónde
Busco el principio y sólo encuentro el final

Las olas rompen el castillo de arena
La ceremonia de la desolación
Soy un extraño en el paraíso
Soy el juguete de la desilusión
Estoy ardiendo y siento frío

Frío (castillo de arena)
Frío
Frío (mi desolación)
Frío

Termina el sueño y suena el disparo
Soy el delirio, soy la confusión
Soy como un verso que está equivocado
Mientras la muerte deja caer el telón

Frío (castillo de arena)
Frío
Frío (mi desolación)
Frío"
Te Fumaré;;;"Fumarte es comerte, beberse tus humos
Fumarte es quererte por amor a humo
Fumarté es tenerte, tenerte es amarte
Y amarte es quererte por amor al arte
Fumaré, te agarraré entre
Mis labios sedientos y te fumaré
Prenderé fuego a tu cuerpo violento y te fumaré
Te fumaré,te fumaré, te fumaré
Te fumaré,te fumaré, te fumaré, te fumaré
Fumarte es chuparte y tragarse tu vida
Cerrarte la ultima herida, fumarte esperderte, fumarte es ganarte, y fumarte es amarte pero consumirte
Fumaré, te agarraré entre
Mis labios sedientos y te fumaré
Prenderé fuego a tu cuerpo violento y te fumaré
Te fumaré, te fumaré, te fumaré
Te fumaré, te fumaré, te fumaré, te fumaré
Fumaré, te agarraré entre
Mis labios sedientos y te fumaré
Prenderé fuego a tu cuerpo violento y te fumaré
Te fumaré, te fumaré, te fumaré
Te fumaré, te fumaré, te fumaré, te fumaré"
El Tiempo Va;;;"El tiempo va...
Hacia manana
Como una flecha

Quien escribe nuestra historia
Nos lo dira... que poco a poco
Poquito a poco
El tiempo va...

Graba' en una piedra
Esta verdad
Aunque no quieras
Aunque no quieras
El tiempo va...

Baila una sombra
En el aire
Con ella tu bailaras...
Agua que escapa tus dedos
Y se va como el tiempo va

El timepo va...
Y la energia que nos dio
...no volvera
Un reloj de arena
Bajo tus venas
Asi es la ley

Una vida
Es todo lo que hay

Noo queda rebeldia
No queda ni libertad
Aunque no quieras
Se acaba el dia
Y el tiempo va...

Baila una sombra en el aire
Con ella tu bailaras
Agua que escapa tus dedos
Y se va como el tiempo va...

Baila una sombra en el aire
Con ella tu bailaras
Agua que escapa en tus dedos
Y se va como el tiempo va

Bebe una gota la lluvia
De ella tu beberas
Agua que escapa tus dedos
Y se va con el tiempo va

Ayyay y el dia que te duermas
El color se dormira
Y aunque baile una sombra en el aire
Tu ya no bailaras
No queda rebeldia
No queda libertad
Y los gritos que nunca has gritado
Se van como el tiempo va...

Ooohh, eeehh
Oohhh, eeehh
Oohhh, eehhh, eeehhh"
Mourning Gun (Blanca Mujer);;;"Here we are, like a cone in the snow and we're going in time
Morning comes and I feel there's a way yet I don't really know

But it is you that I love when I'm alone
But I know tomorrow is gone
Maybe there's no time to refrain
Our lives have become mourning gun

Got to got to feel my disease
Got misfortune crawling under my sleeve
The king of fate is calling my name
Dragon lizard has a needle in me, yeah

He said that is far from control and that he knows
She said that an urge to be alive everytime we fly

But it is you that I love when I'm alone
But I know tomorrow is gone
Maybe there's no time to refrain
Our lives have become mourning gun

Got to got to feel my disease
Got misfortune crawling under my sleeve
The king of fate is calling my name
Dragon lizard has an needle in me

Got to got to feel my disease
Got misfortune crawling under my sleeve (yeah)
The king of fate is calling my name
Dragon lizard has an needle in me

Yeah, got misfortune crawling under my sleeve
Yeah, you've got to feel my disease"
Tu Tren Se Va;Frío;;"Levántate, muévete
Vive fuerte, quémate
Tu tren se va

Acaricia a quien quieras
Y dale un beso de verdad
Tu tren se va

Da una vuelta por tu vida
Tu salida está en ti
Tu tren se va

Ama tu casa y a tus cosas
Tus esquinas, tu lugar
Tu tren se va

Tu tren se va
Tu tren se va

Vuélvete a tus amigos
Usa a prisa tu bondad
Tu tren se va

Organiza tus ideas
Juega duro con tu fe
Tu tren se va

Mira tu cuerpo por última vez
Ámate, perdónate
Tu tren se va

Abre los ojos, di adiós
Duérmete, se acabó
Tu tren se va

Tu tren se va
Tu tren se va"
Todo Es Vino;;;"Acabamos en un bar
Abrazados por instinto
Un beso de vino tinto
En la sombra de un hotel
Un relampago de instinto
Un beso de vino tinto

Los dos locos por entrar
En un mismo laberinto
Un beso de vino tinto
Femenino, masculino

Todo es vino
Todo es al natural...

Estoy en la puerta de mi vida
Bailando el baile del sol
Esperando yo que se
Un barco que tal vez se fue
Los pasos de mi tacon
Mientras yo bailo la vida
A mi son

Todo es vino
Todo es al natural
Siempre al natural...."
Bosque de los Números;;;"En el Bosque de los Numeros
El pequeño y pudiente sacristan
Rueda por el desquicie acelerado
De algo distante a la verdad
Avisa a su piano
Piano del discrimen
Y rota como la misericordia
Purifica la muerte
Es insistente
El
Y abandonado;
De eso se trata su distraccion norteña
Son las distracciones del sarcasmo
Distraccion que le desprecia
Su asqueroso corazon de hierro"
Casi Una Diosa;Frío;;"Hey, tu tienes ondas en la piel
Tu me haces bien
Suave, invisible vaivén
Volando por mi cara vas
Como un pájaro gris cada día
Llenando todo lo que tocas de energía
Casi una diosa, escapada del Edén
En este mundo estúpido
Que no gira-gira bien
Rompes en pedazos mi mejor papel
Escrito con sagre y con miel
Y el mar entra en mi habitación
Porque tu eres el mar cada día
Llenándome todo lo que tocas de energía
Casi una diosa, escapada del Edén
En este mundo estúpido
Que no gira-gira bien
Casi una diosa, escapada del Edén
En este mundo estúpido
Que no gira-gira bien"
Volver;Frío;;"Yo no se lo que está pasando
La gente en mi barrio siempre peliando
La droga en la calle la policía
La bala que silba su melodía
Óyeme, la droga en la calle la policía

Aquí vengo sólo con mis amigos
Hablando me entiendo con mi enemigo
Hermano controla tu calentura
Oye mi canto que te la cura
Ala, Ala, que te la cura

Ven ven, ven y busca bajo la piel
Ven ven, más allá está el poder
Agua en el mar, fuego en el sol
Y en su sitio el corazón

Y ahora ven, luego te lo explico
América canta con Puerto Rico
Mi cielo, mi tierra, la buena gente
Yo quiero mi estado independiente
Óyeme, mi cielo, mi tierra, la buena gente
Óyeme Ala, Ala, la buena gente

Ven ven, ven y busca bajo la piel
Ven ven, más allá está el poder
Agua en el mar, fuego en el sol
Y en su sitio el corazón

Camino solitario bajo el sol
Por el aire llega el eco de tu voz

Ven ven, ven y busca bajo la piel
Ven ven, más allá está el poder
Agua en el mar, fuego en el sol
Y en su sitio el corazón

Ven ven, ven y busca bajo la piel
Ven ven, más allá está el poder
Agua en el mar, fuego en el sol
Y en su sitio el corazón"
Bajo La Piel;;;"Yo no se lo que está pasando
La gente en mi barrio siempre peleando
La droga en la calle la policía
La bala que silba su melodía
Óyeme
Aquí vengo sólo con mis amigos
Hablando me entiendo con mi enemigo
Hermano controla tu calentura
Oye mi canto ojalá que te la cura
Ven, ven
Ven y busca bajo la piel
Ven, ven
Más allá está el poder
Agua del mar fuego en el sol
Y en su sitio el corazón
Ven, ven, ven y busca bajo la piel
Y ahora ven. Luego te lo explico
Am'erica canta con Puerto Rico
Mi cielo, mi tierra la buena gente
Yo quiero mi peque~o independiente
Camino solitario abjo el sol
Por el aire llega el eco de tu voz
Ven, ven
Ven y biusca dbajo la piel
Ven, ven
Más allá está el poder
Agua en el mar
Fuego en el sol
Y en su sitio el corazón
Ven, ven
Ven y biusca dbajo la piel
Ven, ven
Ven y busca bajo la piel
Ven, ven
Más allá está el poder
Agua en el mar
Fuego en el sol
Y en su sitio el corazón
Ven, ven
Ven y busca bajo la piel
Ven
Más allá está el poder
Agua en el mar
Fuego en el sol
Y en su sitio el corazón
Agua en el mar
Fuego en el sol
Y en su sitio el corazón"
Nymph (Casi Una Diosa);;;"Within the delicate purity of love
I find the wild gardens of swoon
I've slowly become a love comforter
All our fears... sorry world

Did you find love yesterday
Did you finally find another man to make your day
Spooning the butterflies I would die for you
Doesn't matter where we go
'Cause pain is all the same

And so I'm caught up by happyland
Draw up into detourland
Far beyond the forbidden flurries of disarray
Disarray...

Did you find love yesterday
Did you finally find another man to make you pray
Spooning the butterflies I would die for you
Doesn't matter where we go
'Cause pain is all the same
Spooning the butterflies I would die for you
Doesn't matter where we go
'Cause pain is all the same

I would die for you..."
One Too Many Mornings;;;"Down the street the dogs are barkin'
And the day is a-gettin' dark
As the night comes in a-fallin'
The dogs 'll lose their bark
And' the silent night will shatter
From the sounds inside my mind
For I'm one too many mornings
And a thousand miles behind
From the crossroads of my doorstep
My eyes they start to fade
As I turn my head back to the room
Where my love and I have laid
And' I gaze back to the street
The sidewalk and the sign
And I'm one too many mornings
And' a thousand miles behind
It's a restless hungry feeling
That don't mean no one no good
When ev'rything I'm a-sayin'
You can say it just as good
You're right from your side
I'm right from mine
We're both just one too many mornings
And' a thousand miles behind"
Mis Amigos;;;"Silvido...
Si me ves andando
Por tu misma vía
Si me ves llorando
Mi melancolía
Déjame con mis enredos
No tengo imágen sin espejos
No tengo música sin ruido
No tengo brazos sin abrazos
No tengo vida si no tengo a mis amigos
Mi vino, mi libro, mi tierra, mi casa...
Mi playa, mi guitarra, mi cama y mis amigos...
No tengo imágen sin espejos
No tengo música sin ruido
No tengo brazos sin abrazos
No tengo vida
Si no tengo a mis amigos"
Roto por ti;;;"Roto por ti y por tus secretos
Totalmente infeliz cuando me atas
Viene viene, vien la lluvia
Vienen los vientos, cientos
Y te quiero tener y no puede ser, estoy roto
No me digas esto, no me ahogues
Enseña a nadar en tu mar
Sin tu vida no hay mi vida
Y no hay salida
Viene la lluvia, vienen los vientos, cientos...
Sin tu vida no hay mi vida
No hay salida no me queda mas momento
Que lo poco qu eyo siento y lo senti
Estoy roto por ti
Viene la lluvia, vienen los vientos, cientos...
Sin tu vida no hay mi vida
No hay salida no me queda mas momento
Que lo poco qu eyo siento y lo senti
Estoy roto por ti"
Y qué me importa;Frío;;"Y qué me importa tu cariño ahora
Se hace tarde para amarte a ti
Y qué me importa si tú me adoras
Si ya no hay razón para yo querer
Y qué me importa verte a ti sufriendo así
Si cuando yo te quise no supiste dar amor
Y qué me importa verte a ti llorando
Si tantas veces yo lloré también
Y qué me importa tu voz llamando
Si para ti yo nadie fui
Y que me importa la tristeza en tu mirar
Si mi mirar era mas triste sin ti
Y qué me importa verte a ti tan triste
Si triste fui y a ti no te importó
Y qué me importa tu cariño ahora
Si para mí la vida terminó"
Hasta La Victoria;;;"(Hasta la victoria siempre, patria o muerte
Se abraza con todo fervor revolucionario....)
Y ahora mientras suena esta musica de fondo y
La madrugada se vuelve cada vez intima
Podria hablarte de la luna, prefiero que la mires
Hablarte del amor prefiero que lo sientas
Sin conocerte voy a ti nadie se entiende
Todo se vuelve en duda, el mar abierto siempre con espuma
Y al final la sonrisa de un desconocido vale mas
Podria hablarte del odio pero prefiero que lo ignores
Hablarte de la amistad prefiero ofrecertela
Podria hablarte de la verdad pero prefiero que la busques
Hablarte de la vida pero prefiereo que la vivas
Hablarte del amor pero prefiereo que la sientas
Hablarte de la verdad pero prefiero que la busques
Sin conocerte voy a ti, nadie se entiende
Todo se vuelve en duda, el mar abierto siempre con espuma
Y al final la sonrisa de un desconocido vale mas
Hablarte de la libertad pero prefiero que la goces
Podria hablarte de la paz pero prefiere que la sueñes
Que luches por ella, hasta la victoria
Hasta la victoria, hasta la victoria..
(Gracias a Hemer por esta letra)"
Espejismo;;;"A pleno sol buscandote
Por el desierto voy
Fuego en la piel
Fuego en la voz
Fuego en el fuego
Mis ojos te ven ahi
Frente al abismo
El aire ya me huele a ti
Pero es un espejismo
(A pleno sol buscandote, mi destino es no saber donde encontrarte, es mi vida siempre buscarte, a pleno sol persiguiendo una luz, eres tu)
Agua me dan para beber
Y es lo mismo, la misma sed
La misma tu, mi unico espejismo
(A pleno sol buscandote, mi destino es no saber donde encontrarte, es mi vida siempre buscarte, a pleno sol persiguiendo una luz, eres tu)
Si me ven pasar, dejenme seguir voy por mi camino, en la ruta del sol, en los mares del calor y en las dunas del deseo
(A pleno sol buscandote, mi destino es no saber donde encontrarte, es mi vida siempre buscarte, a pleno sol persiguiendo una luz, eres tu)
Eres tu...
Es mi vida buscarte, mi destino es no saber donde encontrarte..."
Pasión;Frío;;"Ayer
He tatuado para siempre
En mi mano un corazón
Ayer, cuando te vi sentada
Al lado del calvario

Amor azul llorabas
Me deseabas tanto...
Por amor
Te lamentabas en la fuerza del viento
Por amor
Te deshacías con tu llanto

Pasión
Me quieres demasiado
Pasión
Estoy crucificado

Ayer
Me curaste las heridas
Por pura compasión
Ayer, cuando te vi sentada
Al lado del calvario

Amor azul llorabas
Me deseabas tanto...
Por amor
Te lamentabas en la fuerza del viento
Por amor
Te deshacías en purito llanto

Pasión
Me quieres demasiado
Pasión
Estoy crucificado

Siempre
He dicho que no necesito a nadie
Pasión
Sin ti no soy felíz

Y el sol se oculta por vergüenza de mi corazón
Sale la luna
Y se duerme la pasión
Pasión..."
Amores De Mi Calle;;;"UNA ROSA PASABA
POR MI CALLE
Y EL HUMO SE METIA POR MIS VENASna rosa pasaba
EL AIRE DE SUS FALDAS ERA
DANZA ETERNA
UNA LUNA NUEVA
BRILLA EN LA MIRADA
TAN HONDA DE ESA MUJER
AMORES DE MI CALLE
QUE IGUAL LLEGAN SE ME VAN
ME BESAN A TRAICION
ME ABRAZAN POR LA ESPALDA
PASA POR MI CALLE UNA PASION
(QUE SE PEGA A MI CUERPO)
UN TSUNAMI DE CARMIN Y DE NEON
(MARIPOSAS DE OJOS NEGROS)
LABIOS ANTIGUOS Y LABIOS NEGROS
DEDOS DE SEDA, BENDITOS DEDOS
UN PERFUME A ENAMRADA
ESA MUJER
AMORES DE MI CALLE
QUE IGUAL LLEGAN SE ME VAN
ME BESAN A TRAICION
ME ABRAZAN POR LA ESPALDA"
Then;;;"After more than 700 years of ungrateful love
We conscious to(come) reunited against the growling winds
I know... i know she'll be here again
I know all about this cavern world in your fragile head
Come up here come with me through the oceans of ungrateful tears
I know she'll be here again...
All my life i wanted to love again
All my life i wanted to be again
Come again...
Be my friend in the land of what was then
So a bomb explodes at the embassy
The F.U.C.K. claims
We will never be the same
Soldiers of fortune take me to space mountain
I know she'll be here again
Well i know... i know she'll be here again
All my life i wanted to love again
All my life i wanted to be again
Come again...
Be my friend in the land of what was then
Well my tears will never see the rains of yesterday
I'd never could've thought my heart would break this way inside of me
All my life i wanted to love again
All my life i wanted to be again
Come again...
Be my friend in the land of what was then
All my life i wanted to love again
All my life i wanted to be again
Come again...
Be my friend in the land of what was then
What was then..."
Desnudo;;;"Aqui estoy, desnudo sobre la arena
Con los ojos en la luna
Y los pies en las estrellas
Happy, happy, happy, happy

Aqui estoy, tumbado bajo la lluvia
Con las manos hacia el norte
Y los sesos entre mis uñas

Aqui estoy, desnudo vivir desnudo
Para no sufrir vestido
Por que todo lo que he sido
Lo he sido siempre desnudo
Happy,happy, happy, happy

Aqui estoy, desnudo sobre la arena
Con los ojos en la luna
Y los pies en las estrellas, happy

Aqui estoy con las rodillas al cielo
Y el pecho mirando a nada
Y la espalda en el infierno, en el infierno

Aqui estoy, happy, happy, happy
Happy, happy, happy, happy

Desnudo, happy, happy, happy
Desnudo, happy, happy, happy"
Es La Guerra;;;"Sopla el viento del norte
Y tiembla la tierra...
Es la guerra

Grita al sol de repente
Y cambia la suerte...
Es la muerte

Llora un nombre apretando
La vida en sus dedos...
Es el miedo

Duerme un niño amarrado
Con fuego y alambre...
Es el hambre

Unos ojos se cierran
En la madrugada...
Es la nada

...Es la guerra

Dile adiós a esa nube
Que emprende la huida...
Es tu vida

...Es la guerra

Dile adiós a tus alas
(de puertorriqueño)
De ángel pequeño...
Son tus sueños

Dile adiós a tu nombre
Tu mierda y a tu gloria...
Es tu historia"
Camaron;Frío;;"Hey Camarón por allá qué tal te va
Cuando oigo tu voz me pregunto dónde estás
Me pregunto, dónde estás camarón
Ven quédate que tu casa está en mi piel
Te podrás asomar por mis ojos hasta el mar
Pero nadie me responde y hasta el sol se va
Tan sólo mi guitarra resonando sin parar
Hey camarón por allá qué tal te va
Cuando oigo tu voz me pregunto dónde estás
Y yo que no traigo más que sol y polvo del camino
Bajo el agua encontré tu corazón, encontré tu corazón
Y vuelvo a la ciudad y entre bloques de cemento oigo tu voz
Hey camarón por allá qué tal te va
Cuando oigo tu voz me pregunto dónde estás
Hey camarón por allá qué tal te va
Cuando oigo tu voz me pregunto dónde estás
Nadie me responde
Y hasta el sol se esconde
Hey camarón, por allá qué tal te va
Cuando oigo tu voz me pregunto dónde estás
Hey camarón, por allá qué tal te va
Cuando oigo tu voz me pregunto dónde estás
Hey, camarón
Hey, camarón"
Todo Marcha Bien;;;"Los años pasaron
Y ese loco que fui yo
Se quedo en una vuelta del camino

Yo nunca tuve dinero
Solo viento soplando en mi bolsillo
No tuve nunca miedo
Solo arena, solo pena

Año tras año
Mi cuerpo crecio
Y mi mente de repente desperto
Entre flores de la guerra
Y el veneno del placer
Eh... todo marcha bien

Plante un sueño
Al este del Eden
Eh.. todo marcha
Cruce la playa
Y me atrapo el tren
Eh.. todo marcha bien

De mi casa y mi cuartel
Nadie sabe donde vivo
Nadie sabe mi papel
Mientras pinto las paredes
De color amanecer
Eh... todo marcha bn, todo va bien

Estoy a punto de saltar.......

Plante un sueño
Al este del Eden
Eh.. todo marcha
Cruce la playa
Y me atrapo el tren
Eh.. todo marcha bien

La tierra no me entierra
El vino no me da sombra
Tranquilo, que no llega tu hora
El que cuenta mi historia
Nada sabe de mi vida
Mi fracaso
Mi victoria perdida

Todo marcha bien..."
Mama Hue;Frío;;"Canta el agua y arde el viento
Que gran poder
Con su canto quemará tu piel

Si me cojes de la mano me quedaré
Y si no me das amor me iré

Canta, ponte en pié
Salta la pared

El futuro es tan oscuro que no se ve
Del pasado ya se hablo ayer
Aunque tenga que ir al fondo, te encontraré
Más allá del aguijón, la miel

Canta, ponte en pié
Salta la pared

Mucha gente está en la luna, ya se porque
En la tierra se perdió la fe

Canta, ponte en pié
Salta la pared"
Guajira;Frío;;"No me preguntes tú sabes lo que quiero
Yo me desespero si no tocan mi son
Tú me conoces yo no digo mentiras
Mira dame mi guajira yo me pongo sabrosón

Guajira, es lo que baila mi gente
Caliente, yo lo que quiero es sabor
Guajira, mi alma, mi cuerpo y mi mente
Caliente, tócame más por favor

La discoteca me vuelve como loco
Y poco a poco se me cansa el corazón
Siempre con lo mismo lo tocan y lo estiran
Si no tocan mi guajira se me va la inspiración

Guajira, es lo que baila mi gente
Caliente, yo lo que quiero es sabor
Guajira, mi alma, mi cuerpo y mi mente
Caliente, tócame más por favor

Afrocubana sabrosa y caribeña
Una trigueña ligada al sol y el mar
Un paso alante un paso atrás y gira
Mira con esta guajira uno no para de bailar

Guajira, es lo que baila mi gente
Caliente, yo lo que quiero es sabor
Guajira, mi alma, mi cuerpo y mi mente
Caliente, tócame más por favor

Es lo que baila mi gente
Yo lo que quiero es sabor y más sabor
Mi alma, mi cuerpo y mi mente
Tócame más por favor"
Rosa Mar’a - Cruzando Puertas;;;"Voy cruzando puertas tras de ti
Amor, porque quiero yo así
Porque sé que nos buscamos
Voy pisando pasos que ya di
¿Dónde estás? Te busco
Sólo encuentro un lugar de piedra y silencio
Voy cruzando puertas tras de ti
Voy cruzando puertas tras de ti
La oscuridad invita a la experiencia
Amiga y enemiga, es un animal
Que alimentarás hasta el fin
Te busco, sólo encuentro un lugar
De piedra y silencio
Tu cuerpo acecha tras la sombra
Tu cuerpo, laberinto eterno
Encubre peligro y misterio
Voy cruzando puertas tras de ti--¿Dónde estás?
Te busco, sólo encuentro un lugar
De piedra y silencio
Tu cuerpo acecha tras la sombra
Tu cuerp, laberinto eterno
Encubre peligro y misterio
Peligro y misterio
¿Dónde estás? Te busco, sólo encuentro un lugar
De piedra y silencio
Tu cuerpo acecha tras la sombra
Tu cuerpo laberinto eterno
Encubre peligro y misterio
Peligro y misterio
¿Dónde estás? Te busco, sólo encuentro un lugar
De piedra y silencio
Tu cuerpo acecha tras la sombra
Tu cuerpo, laberinto eterno
Encubre peligro y misterio"
Ms y ms (crash push);;;"Más
Si te acercas un poquito más
Me meterás
En ti
Más
Si te sueño mas
Ya no podré dormir
Nunca jamás
Así susurrándome
Tú te vienes a mi
Y mi habitación se llenará
De verde agua de mar
Verde que me pierde
Más y más
Si mas te quiero quiéreme
Tú mucho más
Más y más dentro de mi entrarás
Más y más
Tú más y más
Yo
No sé como abrazarme a tus brazos
Y no sufrir
Voy por la vida
Pidiéndote un amor
De suicida
Así susurrándome
Tú te vienes a mi
Más y más
Si más te quiero quiéreme
Tú mucho más
Más y más dentro de mi
Entrarás
Tú más y más
Tú más y más
Susurrándome
Y mi habitación se llenará del verde agua de mar
Verde que me pierde
Más y más
Si más te quiero quiéreme
Tú mucho más
Más y más
Dentro de mi entrarás
Tú más y más
Tú más y más
Tú más y más
Tú más y más
Más y más dentro de mi entrarás
Tú más y más
Tú más y más"
Cancion De Cuna;;;"Con los ojos en blanco
Levanta el vuelo
Y abandona la tierra
Para irte al cielo

Duerme niño mio
Con las moras silvestres
De mi cariño
De mi cariño

Sabanitas de noche
Cuna de plumas
Y en las cuatro esquinitas
Tus cuatro lunas

Duerme, duerme, mi niñillo
Con las moras silvestres
De mi cariño
De mi cariño"
Horizonte;;;"En la loma de San Juan
Viviendo cada cual su consecuencia
Me fumo una pipa celestial
En el exilio

En la loma de San Juan
Un sacerdote permanece inmovil
Sobre todo cuando las aguilas blancas
Se elevan, agitando
Contra los muertos del mar

Hey...

!AL HORIZONTE...
LOS OJOS A LA LINEA
SIEMPRE EN EL HORIZONTE
CON LOS CABALLOS...
AL HORIZONTE
AUNQUE NO EXISTA
AL HORIZONTE VOY!

En la loma de San Juan
Los dias se cruzan con los años
La locura se hace invisible
Atrapado en el ojo imaginario

Permitame crearles el otoño
Sobre la nueva Jerusalen
Con el gallo recien nacido
Juicio final
Olvido lo que soy y lo que he sido

!AL HORIZONTE...
LOS OJOS A LA LINEA
SIEMPRE EN EL HORIZONTE
CON LOS CABALLOS...
AL HORIZONTE
AUNQUE NO EXISTA
AL HORIZONTE VOY!"
I Come Before You;;;"I come before you
At this time to make
An expression of grattitude
Not only for myself
But for my loved ones...
And for all the people here
On Mother Earth say to always be peace
So we can enjoy life and look forward to a life
Of happiness and eternity
This is your promise to us
Let us all honor it
All through the time meditate
Hey!"
